manga_id,score,user,weight
11734,10,M_Parabola,0
11734,10,yungscoob,0
11734,8,xanax-please,0
11734,10,Corda,0
81211,10,Germs_N_Spices,66
81211,10,tribe_boy2014,39
81211,9,Takao_21,5
664,10,martusf,72
664,7,MDG31ST,36
664,7,Tumerking,44
664,9,TuesdaysDusk,37
664,9,Ghostfriendly,15
664,9,Playcool,18
664,10,IppoSRB,17
664,5,tuklaw,12
664,10,Sentinel57,11
664,7,SmileToday191,10
664,4,Zentoyo,3
664,7,jzmcdaisy,2
664,10,Wombstone,5
664,9,Wintermute12,5
664,9,whatevere5656,5
664,10,VitorAmon,1
664,10,mellon29,2
664,10,robiu013,0
100448,10,Major_Gilbert,122
100448,3,Unowen,68
